route,scale_knob,label,seed,n_params,n_learnable_params,embed_dim,n_heads,n_gen,gauge_group,n_layers,n_e_steps,family,tokens_seen,est_flops_6ND,est_flops_analytic,active_params_per_token,test_ce,test_ppl,test_bpc,estep_final_f_per_token,best_val_ppl,wall_time_s,data_sha256,git_sha
grow_K_GL10,embed_dim,K100_GL10,23,75564058,75564058,100,10,1000,block_glk,1,1,gaussian_diagonal,491520000,222847474728960000,4965629952000000.0,25129700,4.349732287340325,77.45772373607925,1.3761032293379325,38.84632110595703,76.29296885152279,20985.918884600003,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,7b0f208ca422e1a530db2c20b5fd8af326e79bf9
grow_K_GL10,embed_dim,K100_GL10,6,75564058,75564058,100,10,1000,block_glk,1,1,gaussian_diagonal,491520000,222847474728960000,4965629952000000.0,25129700,4.33938421957137,76.66031887705275,1.3728294624636557,38.961082458496094,75.09510680829793,21458.0575748,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,65e11208bdb2d18ada41d9001ba158dc1ea1ea22
grow_K_GL10,embed_dim,K100_GL10,64,75564058,75564058,100,10,1000,block_glk,1,1,gaussian_diagonal,491520000,222847474728960000,4965629952000000.0,25129700,4.344657917753957,77.06567017212014,1.3744978762004583,39.72926330566406,75.64026759204775,21028.6147599,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,7b0f208ca422e1a530db2c20b5fd8af326e79bf9
grow_K_GL10,embed_dim,K10_GL10,23,7601628,7601628,10,1,100,block_glk,1,1,gaussian_diagonal,491520000,22418113167360000,507887616000000.0,2512970,5.390152720760831,219.23686501821263,1.7052558814370273,10.490083694458008,221.68729163140327,7060.5928855999955,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K10_GL10,6,7601628,7601628,10,1,100,block_glk,1,1,gaussian_diagonal,491520000,22418113167360000,507887616000000.0,2512970,5.394590816994009,220.21202164187963,1.7066599399296303,10.574651718139648,222.72010226419903,7064.845414700016,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K10_GL10,64,7601628,7601628,10,1,100,block_glk,1,1,gaussian_diagonal,491520000,22418113167360000,507887616000000.0,2512970,5.382623002824039,217.5922726916815,1.7028737419203082,10.395515441894531,219.55624584535286,7057.936872399994,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K110_GL10,23,83115449,83115449,110,11,1100,block_glk,1,1,gaussian_diagonal,491520000,245117432954880000,5460934656000000.0,27642670,4.329143223399063,75.87924714758587,1.3695895692993418,40.4696044921875,74.23663136920545,24215.2229579,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,7de76c6ce60c0ed24dadbd18be9e98bf306d86e4
grow_K_GL10,embed_dim,K110_GL10,6,83115449,83115449,110,11,1100,block_glk,1,1,gaussian_diagonal,491520000,245117432954880000,5460934656000000.0,27642670,4.316014966263938,74.8895952957329,1.3654362477048605,41.68975830078125,73.59679131663675,24329.332149699992,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,ea1a94747bf5d585c647265cabffd64d472d0e7b
grow_K_GL10,embed_dim,K110_GL10,64,83115449,83115449,110,11,1100,block_glk,1,1,gaussian_diagonal,491520000,245117432954880000,5460934656000000.0,27642670,4.329965225804728,75.94164571365347,1.3698496221233405,42.153587341308594,74.41516699415519,24291.8391939,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,7de76c6ce60c0ed24dadbd18be9e98bf306d86e4
grow_K_GL10,embed_dim,K120_GL10,23,90666842,90666842,120,12,1200,block_glk,1,1,gaussian_diagonal,491520000,267387397079040000,5956239360000000.0,30155640,4.30661128808896,74.18865850020413,1.3624612526823152,43.606727600097656,72.60937197514482,27542.966894,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,a6c82abd8f7b69c633affba0b28387b08493f4d9
grow_K_GL10,embed_dim,K120_GL10,6,90666842,90666842,120,12,1200,block_glk,1,1,gaussian_diagonal,491520000,267387397079040000,5956239360000000.0,30155640,4.308869239349226,74.35636213723052,1.3631755895232245,45.39977264404297,72.93042171214434,27530.014854299996,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,a6c82abd8f7b69c633affba0b28387b08493f4d9
grow_K_GL10,embed_dim,K120_GL10,64,90666842,90666842,120,12,1200,block_glk,1,1,gaussian_diagonal,491520000,267387397079040000,5956239360000000.0,30155640,4.301383811988988,73.80185095544422,1.3608074619965307,43.772499084472656,72.66842793179404,27499.818144,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,a6c82abd8f7b69c633affba0b28387b08493f4d9
grow_K_GL10,embed_dim,K20_GL10,23,15153002,15153002,20,2,200,block_glk,1,1,gaussian_diagonal,491520000,44688021258240000,1003192320000000.0,5025940,4.901836101239482,134.53657581787292,1.5507695745398289,13.330022811889648,135.56595011501798,5044.471675799985,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K20_GL10,6,15153002,15153002,20,2,200,block_glk,1,1,gaussian_diagonal,491520000,44688021258240000,1003192320000000.0,5025940,4.9105289377397945,135.71117819136288,1.5535196841074916,12.907791137695312,135.82502556499804,5040.091918999999,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K20_GL10,64,15153002,15153002,20,2,200,block_glk,1,1,gaussian_diagonal,491520000,44688021258240000,1003192320000000.0,5025940,4.9178142921938734,136.7034925196387,1.555824515561213,13.262779235839844,137.5323494661191,5036.700974499981,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K30_GL10,23,22704377,22704377,30,3,300,block_glk,1,1,gaussian_diagonal,491520000,66957932298240000,1498497024000000.0,7538910,4.7351679562542985,113.88258440433222,1.4980416001747414,16.982044219970703,114.30670759512068,6521.925897100009,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K30_GL10,6,22704377,22704377,30,3,300,block_glk,1,1,gaussian_diagonal,491520000,66957932298240000,1498497024000000.0,7538910,4.725776415772223,112.81805809799407,1.4950704450938974,17.093551635742188,112.64679579056676,6534.432849000004,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K30_GL10,64,22704377,22704377,30,3,300,block_glk,1,1,gaussian_diagonal,491520000,66957932298240000,1498497024000000.0,7538910,4.724822036320083,112.71043822478153,1.4947685128002879,17.105911254882812,112.55798941655493,6538.400855199987,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K40_GL10,23,30255754,30255754,40,4,400,block_glk,1,1,gaussian_diagonal,491520000,89227849236480000,1993801728000000.0,10051880,4.606629524204841,100.14604035689386,1.4573765339700697,18.835018157958984,99.74031439715272,8297.819845399994,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K40_GL10,6,30255754,30255754,40,4,400,block_glk,1,1,gaussian_diagonal,491520000,89227849236480000,1993801728000000.0,10051880,4.626909649899864,102.1977487765075,1.4637924567480125,20.024168014526367,101.10028628041685,8292.24951969998,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K40_GL10,64,30255754,30255754,40,4,400,block_glk,1,1,gaussian_diagonal,491520000,89227849236480000,1993801728000000.0,10051880,4.62359048916509,101.85910034677418,1.4627423903291876,19.590641021728516,100.21516279450114,8291.607978400018,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K50_GL10,23,37807133,37807133,50,5,500,block_glk,1,1,gaussian_diagonal,491520000,111497772072960000,2489106432000000.0,12564850,4.532027131615573,92.94678560738402,1.4337749450499384,23.55805206298828,92.02265640463376,10303.947348799964,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K50_GL10,6,37807133,37807133,50,5,500,block_glk,1,1,gaussian_diagonal,491520000,111497772072960000,2489106432000000.0,12564850,4.546419820302374,94.2942130490898,1.4383282885829198,23.833431243896484,93.36633827436472,10292.683571099944,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K50_GL10,64,37807133,37807133,50,5,500,block_glk,1,1,gaussian_diagonal,491520000,111497772072960000,2489106432000000.0,12564850,4.553317993430447,94.9469195085176,1.4405106294009289,22.532121658325195,94.02965306366498,10374.533413700003,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K60_GL10,23,45358514,45358514,60,6,600,block_glk,1,1,gaussian_diagonal,491520000,133767700807680000,2984411136000000.0,15077820,4.480838274857814,88.30866859346858,1.4175805803311063,26.301071166992188,86.51615322778864,12381.771966600034,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K60_GL10,6,45358514,45358514,60,6,600,block_glk,1,1,gaussian_diagonal,491520000,133767700807680000,2984411136000000.0,15077820,4.4916075730857,89.2648303360302,1.4209876097963976,26.208131790161133,88.22854137052153,12391.186499500007,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K60_GL10,64,45358514,45358514,60,6,600,block_glk,1,1,gaussian_diagonal,491520000,133767700807680000,2984411136000000.0,15077820,4.490554753420615,89.17090002176924,1.4206545344608763,25.963333129882812,87.81495294086643,12395.293315100018,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K70_GL10,23,52909897,52909897,70,7,700,block_glk,1,1,gaussian_diagonal,491520000,156037635440640000,3479715840000000.0,17590790,4.445619032514634,85.25263565966573,1.4064384433162973,28.74463653564453,84.0187544240704,15153.119460399961,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,5e88afc941e4b08f96b2b057ad6c1cb41a0fdfa1
grow_K_GL10,embed_dim,K70_GL10,6,52909897,52909897,70,7,700,block_glk,1,1,gaussian_diagonal,491520000,156037635440640000,3479715840000000.0,17590790,4.430102110017875,83.93998758631827,1.4015294315089903,29.991641998291016,82.6070913734635,14950.499144700007,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,a4b5d2a40bb21bf6662678d85c24d3add3cce896
grow_K_GL10,embed_dim,K70_GL10,64,52909897,52909897,70,7,700,block_glk,1,1,gaussian_diagonal,491520000,156037635440640000,3479715840000000.0,17590790,4.433622733472635,84.23602949567045,1.4026432336892947,30.600765228271484,83.28010402589915,15035.552376999985,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,c7b0dc0ad9e62ba47c895233b27766f6010ab0e0
grow_K_GL10,embed_dim,K80_GL10,23,60461282,60461282,80,8,800,block_glk,1,1,gaussian_diagonal,491520000,178307575971840000,3975020544000000.0,20103760,4.398559773583109,81.33364540651742,1.3915505389791962,31.97271728515625,80.14380013721046,17352.37106799998,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,5e88afc941e4b08f96b2b057ad6c1cb41a0fdfa1
grow_K_GL10,embed_dim,K80_GL10,6,60461282,60461282,80,8,800,block_glk,1,1,gaussian_diagonal,491520000,178307575971840000,3975020544000000.0,20103760,4.4036080163671025,81.74527552523429,1.3931476265097906,32.40730285644531,80.50666190167436,17338.768719400046,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,52f0b7f07b062a2745b9e929b39453fee9ef290c
grow_K_GL10,embed_dim,K80_GL10,64,60461282,60461282,80,8,800,block_glk,1,1,gaussian_diagonal,491520000,178307575971840000,3975020544000000.0,20103760,4.3957857101924445,81.10833337778044,1.3906729223034777,31.97368621826172,79.83083316567114,17455.283030199993,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,5e88afc941e4b08f96b2b057ad6c1cb41a0fdfa1
grow_K_GL10,embed_dim,K90_GL10,23,68012669,68012669,90,9,900,block_glk,1,1,gaussian_diagonal,491520000,200577522401280000,4470325248000000.0,22616730,4.374416579181666,79.39350621329297,1.3839124763151895,35.22134780883789,78.09434232086757,18907.563524700003,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,65e11208bdb2d18ada41d9001ba158dc1ea1ea22
grow_K_GL10,embed_dim,K90_GL10,6,68012669,68012669,90,9,900,block_glk,1,1,gaussian_diagonal,491520000,200577522401280000,4470325248000000.0,22616730,4.368804111811517,78.94916085358354,1.3821368878507927,36.83814239501953,77.2634670255679,19915.780402600067,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,65e11208bdb2d18ada41d9001ba158dc1ea1ea22
grow_K_GL10,embed_dim,K90_GL10,64,68012669,68012669,90,9,900,block_glk,1,1,gaussian_diagonal,491520000,200577522401280000,4470325248000000.0,22616730,4.37702354629635,79.60075249785943,1.3847372295708635,35.34693145751953,78.11189340821011,18966.77303489996,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,65e11208bdb2d18ada41d9001ba158dc1ea1ea22
